Geography,year_built,Median_Income,Median_rent,Estimate..Total.,No_schooling,Nursery_school,Kindergarten,X1st_grade,X2nd.grade,X3rd.grade,X4th.grade,X5th.grade,X6th.grade,X7th.grade,X8th.grade,X9th.grade,X10th.grade,X11th.grade,X12th.grade..no.diploma,Regular.high.school.diploma,GED.or.alternative.credential,Some.college..less.than.1.year,Some.college..1.or.more.years..no.degree,Associate.s.degree,Bachelor.s.degree,Master.s.degree,Professional.school.degree,Doctorate.degree
"Block Group 1, Census Tract 3.01, Champaign County, Illinois",1982,8340,745,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,12,15,120,41,0,29
"Block Group 5, Census Tract 54.01, Champaign County, Illinois",1982,29946,747,536,0,0,0,0,0,0,0,0,1,0,0,7,0,1,10,129,0,53,131,29,147,15,0,13
"Block Group 1, Census Tract 57.01, Champaign County, Illinois",1973,36473,748,879,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,159,15,14,54,45,315,210,0,39
"Block Group 4, Census Tract 105, Champaign County, Illinois",1965,58162,750,1164,0,1,0,0,0,0,0,0,0,2,5,6,1,14,7,302,93,109,246,117,190,59,0,12
"Block Group 5, Census Tract 56, Champaign County, Illinois",1994,58778,750,1646,10,0,0,0,0,0,0,0,10,0,16,0,55,11,24,281,59,0,252,187,433,166,32,110
"Block Group 2, Census Tract 56, Champaign County, Illinois",1963,57054,755,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,16,22,90,13,74,78,21,0
"Block Group 1, Census Tract 12.06, Champaign County, Illinois",1975,94583,762,921,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,102,29,51,173,68,254,140,52,39
"Block Group 3, Census Tract 7, Champaign County, Illinois",1965,38788,763,975,21,0,0,0,0,0,0,0,0,0,14,0,31,84,18,297,118,86,89,63,64,49,26,15
"Block Group 1, Census Tract 111, Champaign County, Illinois",1968,24375,767,453,0,0,0,0,0,0,0,0,7,0,0,8,0,10,14,56,8,36,38,8,101,101,7,59
"Block Group 4, Census Tract 101, Champaign County, Illinois",1957,47794,768,1145,20,0,0,0,0,0,0,0,0,0,0,0,2,90,0,451,30,92,131,90,146,71,0,22
"Block Group 3, Census Tract 108, Champaign County, Illinois",1961,65000,771,553,14,0,0,0,0,0,0,0,0,0,3,4,4,0,8,116,11,70,82,108,95,19,4,15
"Block Group 4, Census Tract 5, Champaign County, Illinois",1955,81343,774,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,220,45,203,92,31,99
"Block Group 1, Census Tract 110, Champaign County, Illinois",1962,41579,778,661,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,50,0,0,147,0,176,172,42,62
"Block Group 1, Census Tract 9.01, Champaign County, Illinois",1961,41406,780,557,17,0,0,0,0,0,0,0,0,0,0,8,17,12,0,151,29,16,89,74,98,27,0,19
"Block Group 1, Census Tract 60, Champaign County, Illinois",1967,20875,784,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,8,4,0,129,172,79,108
"Block Group 1, Census Tract 55, Champaign County, Illinois",1970,44231,792,404,22,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21,0,71,57,8,78,47,84,0
"Block Group 5, Census Tract 110, Champaign County, Illinois",,38952,796,548,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,73,6,26,120,13,88,40,82,94
"Block Group 5, Census Tract 108, Champaign County, Illinois",1949,63750,800,981,0,0,0,0,0,0,0,0,0,0,13,5,15,5,2,309,50,142,177,85,100,51,13,14
"Block Group 2, Census Tract 54.01, Champaign County, Illinois",1963,34401,803,674,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,171,0,52,115,16,165,52,0,50
"Block Group 2, Census Tract 3.02, Champaign County, Illinois",1987,,810,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,14,0,38,67,183,0,0
"Block Group 1, Census Tract 106.04, Champaign County, Illinois",1980,55132,813,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,446,53,51,186,157,221,53,0,0
"Block Group 2, Census Tract 59, Champaign County, Illinois",1981,17744,814,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,26,115,0,25
"Block Group 1, Census Tract 102.04, Champaign County, Illinois",1958,30645,823,441,0,0,0,0,0,0,0,0,0,0,0,29,44,66,0,185,35,53,12,4,13,0,0,0
"Block Group 2, Census Tract 110, Champaign County, Illinois",,33159,825,956,0,0,0,0,0,0,0,0,0,0,0,0,22,13,0,66,12,56,202,44,235,274,12,20
"Block Group 1, Census Tract 12.01, Champaign County, Illinois",1969,42321,826,730,0,0,0,0,0,0,0,0,30,0,14,0,29,0,0,163,17,28,121,43,232,35,0,18
"Block Group 1, Census Tract 106.03, Champaign County, Illinois",1985,37188,832,974,0,0,0,0,0,0,0,0,0,0,8,0,16,18,48,163,68,81,213,223,73,63,0,0
"Block Group 2, Census Tract 106.01, Champaign County, Illinois",1980,80509,832,1187,52,0,0,0,0,0,0,0,8,0,0,0,0,0,12,309,41,130,195,60,252,107,0,21
"Block Group 5, Census Tract 12.01, Champaign County, Illinois",1982,26282,835,930,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,157,0,61,78,124,192,180,87,19
"Block Group 3, Census Tract 3.02, Champaign County, Illinois",1993,,842,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,158,142,203,50,0,58
"Block Group 1, Census Tract 59, Champaign County, Illinois",1984,10147,843,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,26,0,0,28
"Block Group 2, Census Tract 106.04, Champaign County, Illinois",1972,56298,843,849,2,0,0,0,0,0,0,0,0,0,0,3,10,12,12,245,31,38,161,86,152,79,0,18
"Block Group 3, Census Tract 54.02, Champaign County, Illinois",2000,48371,847,1271,0,0,0,0,0,0,29,0,10,0,25,23,10,71,0,335,40,94,319,77,198,40,0,0
"Block Group 1, Census Tract 56, Champaign County, Illinois",1977,35687,848,930,0,0,0,0,0,0,0,0,0,0,0,0,56,46,0,136,64,275,115,57,139,27,15,0
"Block Group 1, Census Tract 2, Champaign County, Illinois",2004,28393,852,622,0,0,0,0,0,0,0,0,0,0,5,0,0,17,4,237,15,18,124,39,111,30,0,22
"Block Group 1, Census Tract 14, Champaign County, Illinois",1974,18750,853,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,20,32,75,23,13,13
"Block Group 1, Census Tract 101, Champaign County, Illinois",1963,36000,854,691,0,0,0,0,0,0,0,0,0,0,0,0,20,25,14,328,40,45,49,34,0,92,20,24
"Block Group 1, Census Tract 108, Champaign County, Illinois",,50263,859,416,0,0,0,0,0,0,0,0,0,0,3,3,12,15,3,166,17,47,57,39,36,18,0,0
"Block Group 4, Census Tract 56, Champaign County, Illinois",1960,30313,861,676,31,12,0,0,0,0,0,0,0,0,0,0,0,19,10,13,0,35,76,92,84,229,0,75
"Block Group 3, Census Tract 58, Champaign County, Illinois",,61136,865,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,14,27,0,105,113,17,65
"Block Group 4, Census Tract 12.03, Champaign County, Illinois",1982,60909,873,503,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,40,23,17,87,43,113,95,47,24
"Block Group 1, Census Tract 4.02, Champaign County, Illinois",1986,5811,883,146,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,24,7,0,16,0,61,25,0,0
"Block Group 2, Census Tract 7, Champaign County, Illinois",1954,37097,900,629,16,0,0,0,0,0,0,0,0,0,0,6,7,13,9,193,50,20,159,24,35,73,24,0
"Block Group 1, Census Tract 5, Champaign County, Illinois",,27314,903,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,8,135,62,84,240,0,15
"Block Group 1, Census Tract 58, Champaign County, Illinois",1993,16384,906,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,28,0,75,80,0,16
"Block Group 4, Census Tract 57.01, Champaign County, Illinois",1967,73409,907,789,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,147,35,49,22,22,198,131,81,92
"Block Group 1, Census Tract 12.04, Champaign County, Illinois",1994,123750,907,2616,0,0,0,0,0,0,0,0,0,0,3,13,16,10,8,191,46,120,248,256,567,538,188,412
"Block Group 5, Census Tract 109, Champaign County, Illinois",1999,67529,908,2233,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,413,24,157,389,347,593,161,97,42
"Block Group 4, Census Tract 13.01, Champaign County, Illinois",1986,56714,917,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150,0,0,94,0,180,213,21,40
"Block Group 4, Census Tract 10, Champaign County, Illinois",,58412,918,667,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,191,13,29,39,81,130,159,0,12
"Block Group 2, Census Tract 2, Champaign County, Illinois",1979,22955,922,536,5,0,0,0,0,0,0,0,3,0,0,0,15,15,35,150,45,29,124,58,27,25,0,5
"Block Group 1, Census Tract 103, Champaign County, Illinois",1957,54293,923,713,0,0,0,0,0,0,0,0,0,0,6,4,30,5,6,180,113,50,128,115,47,22,0,7
"Block Group 4, Census Tract 58, Champaign County, Illinois",,104943,924,730,19,0,0,0,0,0,0,0,19,0,0,0,13,26,17,10,0,21,42,11,159,119,29,245
"Block Group 1, Census Tract 109, Champaign County, Illinois",1963,85078,925,683,0,0,0,0,0,0,0,0,0,0,4,3,9,5,3,182,17,59,104,99,119,64,7,8
"Block Group 3, Census Tract 55, Champaign County, Illinois",1963,39088,930,1292,0,0,0,0,0,0,0,0,0,0,7,15,21,19,30,479,111,66,78,187,177,80,0,22
"Block Group 3, Census Tract 11, Champaign County, Illinois",1951,73207,938,923,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91,10,55,143,54,294,187,13,52
"Block Group 3, Census Tract 5, Champaign County, Illinois",,21307,940,881,4,0,0,0,0,0,0,0,0,0,0,0,1,27,55,2,1,55,144,28,168,217,59,120
"Block Group 3, Census Tract 56, Champaign County, Illinois",1957,39818,943,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,15,0,0,99,130,42,11,0
"Block Group 2, Census Tract 111, Champaign County, Illinois",1992,27623,944,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,68,106,0,17
"Block Group 4, Census Tract 55, Champaign County, Illinois",,47192,950,663,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,80,29,54,86,110,188,84,25,0
